SDE_Type,Feature_Name,Total_Field_Count,Record_Count,Path,Review Date,Comments
alaska_edit,gis_ds.dbo.signs_pt,41,1509,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\alaska_edit.sde\GIS_DS.DBO.SIGNS\GIS_DS.DBO.signs_pt,2020-02-23 15:20:45.774,
alaska_edit,gis_ds.dbo.signs_pt__attach,11,1533,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\alaska_edit.sde\GIS_DS.DBO.signs_pt__ATTACH,2020-02-23 15:20:45.774,
alaska_edit,gis_ds.dbo.signs_maint_tbl,22,1450,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\alaska_edit.sde\GIS_DS.DBO.signs_maint_tbl,2020-02-23 15:20:45.774,
arizona_edit,ilmazedt.ilmazdbo.signs_pt,60,251,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_edit.sde\ilmazedt.ILMAZDBO.SIGNS\ilmazedt.ILMAZDBO.signs_pt,2020-02-23 15:20:45.774,
arizona_edit,ilmazedt.ilmazdbo.signs_pt__attach,7,0,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_edit.sde\ilmazedt.ILMAZDBO.signs_pt__ATTACH,2020-02-23 15:20:45.774,
arizona_edit,ilmazedt.ilmazdbo.signs_maint_tbl,22,279,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\arizona_edit.sde\ilmazedt.ILMAZDBO.signs_maint_tbl,2020-02-23 15:20:45.774,
california_edit,ilmcapub.caso.signs_pt,41,3826,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_edit.sde\ilmcaPub.CASO.SIGNS\ilmcaPub.CASO.signs_pt,2020-02-23 15:20:45.774,
california_edit,ilmcapub.caso.signs_pt__attach,7,483,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_edit.sde\ilmcaPub.CASO.signs_pt__ATTACH,2020-02-23 15:20:45.774,
california_edit,ilmcapub.caso.signs_maint_tbl,21,262,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\california_edit.sde\ilmcaPub.CASO.signs_maint_tbl,2020-02-23 15:20:45.774,
colorado_edit,ilmcoedt.ilmcodbo.signs_pt,42,4019,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_edit.sde\ilmcoedt.ILMCODBO.signs\ilmcoedt.ILMCODBO.signs_pt,2020-02-23 15:20:45.774,
colorado_edit,ilmcoedt.ilmcodbo.signs_maint_tbl,18,2824,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_edit.sde\ilmcoedt.ILMCODBO.signs_maint_tbl,2020-02-23 15:20:45.774,
colorado_edit,ilmcoedt.ilmcodbo.signs_pt__attach,7,2300,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\colorado_edit.sde\ilmcoedt.ILMCODBO.signs_pt__ATTACH,2020-02-23 15:20:45.774,
eastern_states_edit,ilmesedt.ilmesdbo.signs_pt,40,123,\\blm\dfs\loc\EGIS\ProjectsNational\NationalDataQuality\Sprint\analysis_tools\_sde_connections\eastern_states_edit.sde\ilmesedt.ILMESDBO.SIGNS\ilmesedt.ILMESDBO.signs_pt,2020-02-23 15:20:45.774,
